ligand_id,component_id,status,source_smiles,canonical_smiles,smiles_source,source_locator,source_count
1409,2AK,resolved,Cc1cc2c(c(c1)Br)NC(=O)C2=O,Cc1cc(Br)c2c(c1)C(=O)C(=O)N2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2530,2AQ,resolved,c1ccc2c(c1)ccc(n2)N,Nc1ccc2ccccc2n1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
1356,2CL,resolved,c1cc(c(c(c1)Cl)CC(=O)O)Cl,O=C(O)Cc1c(Cl)cccc1Cl,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,4
1368,2D0,resolved,c1cc2c(c(c1)Cl)nc(s2)N,Nc1nc2c(Cl)cccc2s1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2944,2DO,resolved,CCCC[C@@H](C(O)O)N,CCCC[C@H](N)C(O)O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
405,2I4,resolved,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)CC(C)(C)C(=O)O)C)C(=O)O,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2872,2JH,resolved,C1CC(C1)C[C@@H](C(=O)O)N,N[C@@H](CC1CCC1)C(=O)O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
419,2KW,resolved,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)Oc3cc(cc(c3)Cl)C#N)C(F)(F)F,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,7
1116,2MG,resolved,CNC1=Nc2c(ncn2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)C(=O)N1,CNc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
61,2NC,resolved,CCCC[C@@H](CN[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]([C@@H](C)O)NC(=O)C,CCCC[C@@H](CN[C@@H](CCCC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@@H](C)CC,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,63
402,2NU,resolved,CN(C1CC1)C(=O)Cn2cc(cn2)Br,CN(C(=O)Cn1cc(Br)cn1)C1CC1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1503,2OP,resolved,C[C@@H](C(=O)O)O,C[C@H](O)C(=O)O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2925,2RI,resolved,C[C@@H](c1ccc(cc1)F)NC(=O)[C@@H](c2cccnc2)N(c3ccc4c5ccccc5oc4c3)C(=O)[C@@H](C)O,C[C@H](NC(=O)[C@@H](c1cccnc1)N(C(=O)[C@@H](C)O)c1ccc2c(c1)oc1ccccc12)c1ccc(F)cc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,4
278,2RS,resolved,Cc1cc(c(c(c1)C)Nc2nc(nc(n2)OCCCN3CCOCC3)Nc4ccc(cc4)C#N)C,Cc1cc(C)c(Nc2nc(Nc3ccc(C#N)cc3)nc(OCCCN3CCOCC3)n2)c(C)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
279,2RT,resolved,Cc1cc(c(c(c1)C)Nc2ncnc(n2)Nc3ccc(cc3)C#N)C,Cc1cc(C)c(Nc2ncnc(Nc3ccc(C#N)cc3)n2)c(C)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
281,2SQ,resolved,Cc1c(cc(c2c1CCCO2)F)C3=C(N(C(=O)c4c3cccc4)C)[C@@H](C(=O)O)OC(C)(C)C,Cc1c(-c2c([C@H](OC(C)(C)C)C(=O)O)n(C)c(=O)c3ccccc23)cc(F)c2c1CCCO2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,6
657,2SS,resolved,C=CCN(Cc1ccccc1C(=O)NCC2CCC2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,C=CCN(Cc1ccccc1C(=O)NCC1CCC1)Cc1ccc2c(c1C(=O)O)OC[C@H](CCC(=O)O)O2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,4
1374,2SX,resolved,c1cc2c(cc1Br)c(c[nH]2)CC(=O)O,O=C(O)Cc1c[nH]c2ccc(Br)cc12,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1362,2UP,resolved,[H]/N=C(\c1ccc2ccccc2c1)/N,[H]/N=C(/N)c1ccc2ccccc2c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2924,2XI,resolved,C[C@H](C(=O)N(c1ccc(cc1)C(C)(C)C)[C@H](c2cccnc2)C(=O)NC(C)(C)C)O,C[C@@H](O)C(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NC(C)(C)C)c1cccnc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
781,2Z4,resolved,CC(C)[C@@H](C(=O)NCc1ccc(cc1O)OC)NC(=O)[C@@H]([C@@H]([C@H](Cc2ccccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)OCc3ccccc3)O)NCc4ccc(cc4)OC,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2ccc(OC)cc2O)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)cc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
771,357,resolved,CCC1=C(NC(=O)C(=C1Cc2cccc(c2)C)[N@@](C)CCOC)C,CCc1c(C)[nH]c(=O)c(N(C)CCOC)c1Cc1cccc(C)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2521,35J,resolved,c1cc(cnc1)CNC=S,S=CNCc1cccnc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
65,385,resolved,Cc1nc(cs1)COc2ccc(cc2)C[C@@H]([C@@H](C[N@](CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)O)NC(=O)O[C@H]5CO[C@@H]6[C@H]5CCO6,Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,5
286,3A8,resolved,c1ccc(cc1)c2c3c([nH]n2)C(=O)N[C@H]3c4ccc(cc4)O,O=C1N[C@@H](c2ccc(O)cc2)c2c(-c3ccccc3)n[nH]c21,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1325,3A9,resolved,c1cc2c(cc1C(=O)O)CCO2,O=C(O)c1ccc2c(c1)CCO2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
