component_id,source_smiles,source_name,canonical_smiles,chemical_status
CSX,C([C@@H](C(=O)O)N)[S@H]=O,Components-smiles-stereo-oe.smi,N[C@@H](C[SH]=O)C(=O)O,resolved
CTP,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O,Components-smiles-stereo-oe.smi,Nc1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,resolved
CWU,c1ccc2c(c1)C[C@H]([C@H]2Cc3ccc4c(c3C(=O)O)OCO4)O,Components-smiles-stereo-oe.smi,O=C(O)c1c(C[C@H]2c3ccccc3C[C@H]2O)ccc2c1OCO2,resolved
CXD,c1cc(c(c(c1CNC(=O)c2c(nc[nH]2)Cl)F)Oc3cc(cc(c3)Cl)C#N)Cl,Components-smiles-stereo-oe.smi,N#Cc1cc(Cl)cc(Oc2c(Cl)ccc(CNC(=O)c3[nH]cnc3Cl)c2F)c1,resolved
CXG,CC(C)(C)[C@@H](C(=O)NC)NC(=O)[C@@](CCC[N@](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)(Cc3ccccc3)O,Components-smiles-stereo-oe.smi,CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,resolved
CXX,CN(C)CCCN1c2ccccc2CCc3c1cc(cc3)Cl,Components-smiles-stereo-oe.smi,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,resolved
CY3,C([C@@H](C(=O)N)N)S,Components-smiles-stereo-oe.smi,NC(=O)[C@@H](N)CS,resolved
CYY,C1[C@H]([C@@H](C([C@@H]([C@H]1N)O)O)O)N,Components-smiles-stereo-oe.smi,N[C@@H]1C[C@H](N)[C@@H](O)C(O)[C@H]1O,resolved
D0T,CN(Cc1ccccc1C(=O)NCc2ccccc2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,Components-smiles-stereo-oe.smi,CN(Cc1ccccc1C(=O)NCc1ccccc1)Cc1ccc2c(c1C(=O)O)OC[C@H](CCC(=O)O)O2,resolved
D4M,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)COP(=O)(O)O,Components-smiles-stereo-oe.smi,Cc1cn([C@H]2C=C[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,resolved
D4T,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O,Components-smiles-stereo-oe.smi,Cc1cn([C@H]2C=C[C@@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,resolved
D78,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)[C@@H]2CN(C(=O)O2)c3cccc(c3)C(F)(F)F)O)S(=O)(=O)c4ccc(cc4)OC,Components-smiles-stereo-oe.smi,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3cccc(C(F)(F)F)c3)C(=O)O2)cc1,resolved
DAB,C(CN)[C@@H](C(=O)O)N,Components-smiles-stereo-oe.smi,NCC[C@H](N)C(=O)O,resolved
DBJ,c1cc(c2c(c1)OCCO2)CO,Components-smiles-stereo-oe.smi,OCc1cccc2c1OCCO2,resolved
DC0,CC(C)C[C@@H](CN[C@@H](Cc1ccccc1)C(=O)O)N,Components-smiles-stereo-oe.smi,CC(C)C[C@H](N)CN[C@@H](Cc1ccccc1)C(=O)O,resolved
DCP,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O,Components-smiles-stereo-oe.smi,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)n1,resolved
DCT,C1C[C@@H](O[C@@H]1CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)N2C=CC(=NC2=O)N,Components-smiles-stereo-oe.smi,Nc1ccn([C@H]2CC[C@@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O2)c(=O)n1,resolved
DD9,CCCCCCCCC,Components-smiles-stereo-oe.smi,CCCCCCCCC,resolved
DDS,c1nc(c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)N,Components-smiles-stereo-oe.smi,Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O1,resolved
