Ligand	Synonyms
U02	
HI1	
HV1	
NNC	
NNB	
NNI	
PPN	
5AH	
ZZE	
1B0	
CXG	
G40	
YKN	
WHU	
EUR	
CXD	
T27	Rilpivirine
YDP	
KNJ	KNI-1689
ARQ	
BZX	
AVX	
BMC	
833	
BBY	
LNT	
LLG	
LJG	
LJH	
BZN	N-((3R,4R)-4-Benzyloxymethyl-pyrrolidin-3-ylmethyl)-N-isobutyl-benzene sulfonamide
DRR	
DRS	
M14	N-[4-(aminosulfonyl)-2-chlorophenyl]-2-[3-chloro-5-(3-chloro-5-cyanophenoxy)phenoxy]acetamide
M22	
KVI	
KVS	
PDZ	
G55	
G05	
GFA	
GWE	
GWJ	
GWI	
R8E	
R8D	
PZL	
PZ2	
3OB	
GGW	
GGV	
GGX	
K60	(5S)-N-{(1S,2R)-3-[(1,3-benzodioxol-5-ylsulfonyl)(2-methylpropyl)amino]-1-benzyl-2-hydroxypropyl}-2-oxo-3-[3-(trifluoromethyl)phenyl]-1,3-oxazolidine-5-carboxamide
K62	(5S)-3-(3-acetylphenyl)-N-{(1S,2R)-3-[(1,3-benzodioxol-5-ylsulfonyl)(2-methylpropyl)amino]-1-benzyl-2-hydroxypropyl}-2-oxo-1,3-oxazolidine-5-carboxamide
D78	(5S)-N-[(1S,2R)-1-benzyl-2-hydroxy-3-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}propyl]-2-oxo-3-[3-(trifluoromethyl)phenyl]-1,3-oxazolidine-5-carboxamide
JEF	JEFFAMINE
031	
ON1	
RT3	S-(2-{[4-(aminosulfonyl)-2-chlorophenyl]amino}-2-oxoethyl) 6-methyl-3,4-dihydroquinoline-1(2H)-carbothioate
RT7	S-(2-{[4-(aminosulfonyl)-2-chlorophenyl]amino}-2-oxoethyl) 6,8-dichloro-3,4-dihydroquinoline-1(2H)-carbothioate
GR6	
JTH	beta-thujaplicinol
UDR	S-methyl 5-[(1E)-1-(3,7-dimethyl-2-oxo-2,3-dihydro-1,3-benzoxazol-5-yl)-5-(5-methyl-1,3,4-oxadiazol-2-yl)pent-1-en-1-yl]-2-methoxy-3-methylbenzenecarbothioate
AC7	
EDM	
006	KNI-10006
JZP	KNI-10074
JZQ	KNI-10265
1F1	
914	[(5-(6-amino-purin-9-yl)-4-fluoro-2,5-dihydro-furan-2-yloxymethyl)phosphonate-diphosphate]
URT	
ZP4	
KR1	
KRV	
KRP	
KBT	
LP7	
LP8	
LP9	
MLI	
723	
976	
DJZ	
595	
K53	(5S)-N-[(1S,2R)-3-[(1,3-Benzodioxol-5-ylsulfonyl)(2-methylpropyl)amino]-2-hydroxy-1-(phenylmethyl)propyl]-3-(2-hydroxyphenyl)-2-oxooxazolidine-5-carboxamide
K54	(5S)-N-[(1S,2R)-3-[(6-Benzothiazolylsulfonyl)(2-methylpropyl)amino]-2-hydroxy-1-(phenylmethyl)propyl]-2-oxo-3-[2-(trifluoromethyl)phenyl]oxazolidine-5-carboxamide
JGZ	
IMV	
CIW	
CDQ	
CD9	
CBJ	
016	KNI-10772
I3M	
K13	
K14	
K2A	
K20	
K19	
A60	
K2D	
F53	
K2E	
A61	
G52	
MPV	
ZYK	3,4-dimethoxybenzamidoxy proline
ZYJ	
G04	
JHG	
NI7	
P1Y	
QID	
P4Y	
QO9	
NI8	
N4I	
NK7	
NK9	
NK8	
RSY	
RSZ	
74T	TMC310911
LK0	
23X	
F72	
A69	
F71	
55A	
K83	
A68	
77F	
F78	
AF8	
G89	
3T1	
5MA	
M06	
03G	NBD-556
9Y9	
076	
079	
Y1	
0NX	
MMJ	
BCK	
BCU	(3R)-3,4-dihydro-2H-1-benzopyran-3-ylmethanol
FBB	
MWP	6-amino-benzothiophene-1,1-dione
FBG	
MPK	
MOK	
FMQ	
DBJ	
EQM	
M8Y	
M8B	
O3N	
ZSW	
ZSV	
2SS	
9NS	
B0T	
D0T	
G0T	
QCH	
VL4	
NFW	
O5U	
IY7	
3GM	
V7H	
EE2	
5EY	
WOP	
OM3	
7NV	
S8Y	
8P3	
UJ6	
K5Q	
LOZ	
NZL	
ONZ	
U2Z	
CWU	
C5Q	
H75	
Y7N	
JDX	
X0P	
E4F	
S3G	
4VW	
Q31	
RVN	
H39	
9PA	
4D2	
VXO	
FYM	
L0Y	
HLR	
JNS	
IV2	
OM1	
NVU	
K1T	
0JV	
MK5	
M73	
M86	
0KJ	
0LM	
0LL	
0LK	
0LJ	
0KU	
0KW	
0L9	
HGU	
0LY	NBD-557
0LZ	
0M1	
0M4	
0M5	
TQ2	
TQX	
0OE	
0OF	
0OG	
IOP	
0TQ	
IL0	
ILE	
0LQ	
LF2	
PUK	
DC0	
494	
506	
G73	
1BT	
1C1	[amino({[(1R,2R)-1-{[(4-chloro-3- fluorophenyl)carbamoyl]formamido}-2,3-dihydro-1H- inden-2-yl]methyl}amino)methylidene]azanium
NVE	nevirapine phosphonate analogue
G07	
G08	
14N	
LF0	
1FF	
1FE	
1FD	
1FG	
J94	
1F6	
1JR	
1ML	
1OP	
06B	
27B	
G79	
1QP	
1RE	
JLJ	
1WT	
1YQ	(E)-3-(3-bromo-5-(4-chloro-2-(2-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)ethoxy)phenoxy)phenyl)acrylonitrile
1YR	(E)-3-(3-bromo-5-(4-chloro-2-(2-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)ethoxy)phenoxy)phenyl)acrylonitrile
526	
525	
23K	
23L	
29T	
2KW	Doravirine
4BI	
LF8	
2RS	
2RT	
LF9	
2SQ	
YT3	
1TD	
VAC	
F95	
3JY	
79G	
3X6	
3ZM	
K97	
3A8	
3EM	
3EN	
G10	
3LQ	
UNL	
G3P	
43Y	1,2-dipropionyl-sn-glycero-3-phosphocholine
45F	
45W	
G64	
G61	
QHA	
C7U	
C7J	
C7W	
C7L	
ZLP	
J5L	
VXL	
4UY	
4UX	
4XO	
639	
P4G	
52U	GRL-0476
52W	GRL-015
52Z	GRL-085
53F	
5B7	
5B5	
5VE	
5VG	
5VF	
5VH	
15P	PEG 1500
SCN	
5DV	
BHC	
64A	
PPF	
65P	
6EH	
6EG	
6EF	
6EE	
6FT	
6FN	
6FM	
6KK	
6KQ	
6KR	
IB1	
G43	
7SK	
6XI	
6W6	
6YA	
9VN	
9VK	
7AY	JLJ651
FLU	FLUORESCEIN
J63	
7N1	
DDS	
7O7	
7OA	
82M	
83G	
83J	
8BG	
8FM	
8FP	
8HD	
Y55	
FRZ	FR180204
7GC	4-methyl-N-[(1,3-thiazol-2-yl)carbamoyl]benzene-1-sulfonamide
9AY	
HV9	
9JP	
9KG	
9KD	
9K7	
9J1	
9HY	
9TV	
MPO	
GR7	
ET9	Entecavir 5'-triphosphate
DGT	
8Z0	KNI-1657
D4T	
ZW2	
CKD	
CKM	
CKS	
CKV	
CKY	
CN4	
G53	
IHP	MYO-INOSITOL HEXAKISPHOSPHATE; INOSITOL 1,2,3,4,5,6-HEXAKISPHOSPHATE
KYN	L-KYNURENINE
K5A	
K5C	
BVR	
GR8	
GR5	
GTP	
FQ4	
FQ1	
FCA	alpha-D-fucose; 6-deoxy-alpha-D-galactopyranose; D-fucose; fucose
H9Y	
GA8	
GA5	
HWY	
J0S	
J3M	
J3P	
T90	
BA5	XZ462
CXX	3-chloro-5-(3-(dimethylamino)propyl)-10,11-dihydro-5H-dibenz[b,f]azepine
TRP	
B0F	
1RZ	Lamivudine-5'-triphosphate; 3TC Triphosphate; [[(2R,5S)-5-(4-azanyl-2-oxidanylidene-pyrimidin-1-yl)-1,3-oxathiolan-2-yl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate
DCP	
EJ9	
940	
