Ligand	Synonyms
RV8	1,3,5-tris[[(2~{S})-oxiran-2-yl]methyl]-1,3,5-triazinane-2,4,6-trione
S7H	
RVW	thioglucose
RY5	
S1W	
S7W	
S8E	
S8B	
CLU	CLONIDINE
S8H	
93J	
QCP	N-hydroxy-4-{[(2S)-3-methyl-2-phenylbutanoyl]amino}benzamide
S8T	Isofloxythepin
SQ2	2-(benzotriazol-1-yl)-1-(4-methylpiperidin-1-yl)ethanone
SQ5	(5~{S})-5-(cyclohexylmethyl)-3-(5-fluoranylpyridin-3-yl)imidazolidine-2,4-dione
F86	Remdesivir, bound form
MYC	2-(3,4,5-TRIHYDROXYPHENYL)-3,5,7-TRIHYDROXY-4H-1-BENZOPYRAN-4-ONE; 3,3',4',5,5',7-HEXAHYDROXYFLAVONE; MYRICETIN; CANNABISCETIN
SYH	2-(1H-1,2,3-benzotriazol-1-yl)-1-(4-methylidenepiperidin-1-yl)ethan-1-one; 2-(benzotriazol-1-yl)-1-(4-methylidenepiperidin-1-yl)ethanone
T0W	2-(1H-1,2,3-benzotriazol-1-yl)-N-ethyl-N-[(furan-3-yl)methyl]acetamide
PK8	
SE	
ALD	
PRO	
PG6	
5GP	
A2R	
U08	Remdesivir, reacted form
9JT	~{N}-phenyl-2-selanyl-benzamide; Ebselen, bound form
JRY	
FL6	
TG3	
NOL	
FNO	shikonin
TTT	
GKF	
GDP	
BU2	
GQU	
H3U	
CFF	3,7-DIHYDRO-1,3,7-TRIMETHYL-1H-PURINE-2,6-DIONE
GXU	
AU	
H3F	(4S)-N4-[2,6-dimethoxy-4-methyl-5-[3-(trifluoromethyl)phenoxy]quinolin-8-yl]pentane-1,4-diamine
1RP	
RVP	
EOF	
H60	
H63	
H6F	
H6L	
H6R	
HCU	Penciclovir phosphate
HER	
HF0	
HUR	
HUO	
GYX	
HYR	
ELA	
VCG	Polysorbate 80
AT9	AT-9010
OAR	
J7R	
J7O	
2XI	
2RI	
WW0	
WWC	
WWH	
WWN	
WWT	
WX6	
WXB	
WXF	
WXK	
WXO	
WXT	
WXX	
WY6	
KFU	
KG9	
KJI	
KJO	
KL6	
KLR	
KMF	
KMX	
KNU	
KO9	
KOI	
KP0	
KQ3	
KQL	
KQX	
KS0	
KSI	
KSX	
KT9	
KU6	
KUU	
KVF	
KVO	
KVX	
KW9	
KXF	
KWR	
KX9	
KXR	
KY0	
KYC	
KYU	
KZC	
KZX	
L1F	
L2I	
L3I	
L6R	
L6D	
L5I	
L4U	
L4N	
L7F	
L7Q	
L7V	
L83	
L8F	
L8O	
L93	
L9F	
L9O	
LB0	
LBC	
LBO	
LCU	
LDX	
LKX	
LKI	
LJO	
LJ0	
LF3	
LR0	
LQU	
LQ0	
LO0	
LM0	
LRC	
LRN	
LS0	
LSF	
LT9	
LUC	
LV9	
LVM	
LW6	
LWO	
M4L	
M2X	
M26	
Y6J	
R30	
M0X	
M0G	
LZX	
LXF	
MF0	
M9U	
M93	
860	
M7X	
M6U	
M6I	
M5X	
M5I	
M50	
MJR	
MKI	
MQ3	
MU3	
MVR	
MVX	
MWN	
MX9	
MZF	
N00	
N0F	
N0O	
N0X	
N1U	
N2X	
N3I	
N3R	
N43	
N4L	
N5L	
N6X	
N7L	
N8X	
N9I	
NB0	
NB6	
N6F	
NDI	
NEL	
NGX	
NIJ	
NJE	
NJU	
NKU	
NM0	
NO0	
NOI	
NQ3	
NQO	
NRC	
NRX	
NSR	
NU0	
NUR	
NV9	
NVO	
NW0	
NWI	
NX9	
NYR	
NZK	
O0C	
O0R	
O0X	
O1I	
O1X	
O2R	
O3I	
O3U	
O4L	
O5C	
Z26	
O87	
O8L	
O9O	
O9X	
OAO	
OBO	
OCI	
OD7	
ODX	
OE6	
OEO	
OFX	
OGF	
OHC	
OI4	
OIE	
OIK	
OIX	
OJ9	
OJO	
OK9	
OKW	
OLX	
ONU	
OGV	
OGO	
OO6	
OOL	
OPU	
OQF	
OQL	
OQX	
ORR	
OSI	
OT6	
OTV	
OUF	
OV4	
OVF	
OVX	
OWC	
OWX	
OYF	
OYX	
OZC	
OZX	
P0X	
P3L	
P4R	
P6O	
P7R	
P9O	
PJ6	
PJX	
PKW	
PQ6	
PUU	
PVR	
PWR	
PZ6	
Q0I	
Q1C	
Q1U	
Q2G	
Q2U	
Q36	
Q3U	
Q45	
Q4F	
Q4R	
Q5C	
Q5K	
Q5R	
Q60	
Q69	
Q6U	
Q7C	
Q7R	
Q8I	
Q8O	
Q99	
QBR	
QC3	
QCC	
QCO	
QD4	
QD9	
QDF	
QDU	
QE3	
QER	
QEX	
QF5	
QF9	
QFL	
QFU	
QG3	
QGC	
QGO	
QGX	
QH6	
QHI	
QHU	
QI4	
QI7	
QIM	
QIB	
QIQ	
QIT	
QIZ	
QJ6	
QJF	
QJL	
QJR	
QK3	
QKB	
QKI	
QKR	
QL3	
QLC	
QLO	
QM3	
QM9	
QML	
QMX	
QN9	
QNU	
QO0	
QOO	
QOU	
QOC	
QP0	
QP6	
QPQ	
QQ6	
QQF	
QQO	
QQU	
QR5	
QR9	
QRS	
QRF	
QS3	
QSF	
QSX	
QT3	
QTC	
QTL	
QU9	
QUQ	
QV0	
QV9	
QVG	
QVJ	
QVU	
QW1	
QWL	
QWU	
QX3	
QX9	
QXI	
QXR	
QXX	
QY6	
QYI	
QYN	
QYR	
QZ0	
QZC	
QZL	
QZU	
R08	
R0F	
R0Q	
R1I	
R1U	
R2L	
R2X	
R3I	
R43	
R4X	
R5H	
R5O	
R66	
R6L	
R7F	
R76	
R87	
R8I	
R8O	
R8X	
R95	
R9E	
R9I	
R9R	
R9Z	
RAQ	
RBM	
RBX	
RC9	
RD5	
RDK	
RDQ	
RDX	
REU	
RFF	
RFR	
RG3	
RG9	
RGQ	
RGX	
RHI	
RI1	
RI6	
RIJ	
RIU	
RIY	
RJ3	
RJF	
RJO	
RJX	
RK6	
RKC	
RKR	
RL0	
RL8	
RLH	
RLR	
RM3	
RMI	
RN0	
RNI	
ROZ	
RPK	
RPZ	
RQ6	
RQO	
RQF	
RR0	
RRD	
RRU	
RS6	
RSL	
RT4	
RT9	
RTS	
RV0	
RVL	
RVR	
RW0	
RW9	
RWO	
RWT	
RXU	
RYB	
RZF	
RZU	
S0X	
S1U	
S1L	
S39	
S3X	
S4X	
S5L	
S6K	
S7C	
S7U	
XWH	
XWZ	
Y2C	
Y25	
Y1R	
Y1L	
Y1H	
Y1C	
ZHA	
Y0W	
Y3N	
VXQ	
Y0S	
Y0O	
NT9	
Y0L	
Y0H	
Y0C	
XZX	
XZT	
XZO	
XZI	
XZE	
GT7	
5F8	
JAH	
XZ6	
0TI	
XXN	
V9G	[[(2~{R},3~{R},4~{R},5~{R})-5-(6-aminopurin-9-yl)-4-methoxy-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [[(2~{R},3~{S},4~{R},5~{R})-5-(2-azanyl-7-methyl-6-oxidanylidene-1~{H}-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] hydrogen phosphate
Y95	
VBY	
CMP	CYCLIC AMP; CAMP
Y41	
VJA	
GHX	
VHV	
VHJ	
VHM	
VHP	
XM2	
MLZ	
LW1	
G65	
A2M	
VR4	GC376 alpha-ketoamide analog (bound form)
UVC	
VQV	
3NI	
PEE	DOPE
Y94	
Y96	
AR6	Adenosine-5-Diphosphoribose
MLY	
SNM	
X0Y	
SER	
X4P	
X4V	
X7V	
XB1	
XC4	
0EN	
PG5	
XEY	
XF1	
XF4	
XF7	
XFD	
XNJ	demethylated masitinib
AG7	RUPINTRIVIR, bound form
2DO	
XT7	
BO3	
XR8	
XTJ	
XTM	
XTP	
XU4	
XV4	
R9V	
XWS	
XY4	
XYJ	
Y8Y	
Y4D	
Y91	
Y5S	
Y4P	
Y7G	
Y4V	
Y7M	
Y64	
Y4J	
Y8S	
Y8V	
Y51	
Y71	
Y54	
Y61	
Y6A	
Y6G	
Y97	
YD1	
YCV	
YG4	
YHJ	
YHI	
IRI	
YN1	
YMY	
YKM	
YKP	
YLM	
YLS	
YMG	
YMD	
YMJ	
YMM	
YMS	
YMV	
YKD	
YKA	
YKS	
YKV	
YL7	
YKY	
YLD	
YLJ	
YLV	
YM1	
YOP	
ALC	
YSG	
YSP	
YSM	
YSJ	
YTJ	
YTM	
YTV	
YTS	
YU4	
H37	FFRCK
YVP	
DIO	
YVY	
YVA	
YV7	
YVD	
YVG	
YVJ	
YVM	
YVV	
YWJ	
FN7	
TLA	
NCO	
C7A	
ZJ1	
ZL7	
ETF	
ASC	Vitamin C
UFT	
ODN	
06I	
S6V	
0MI	
0OI	
WNM	
U88	halicin
UJK	
UQW	[(2~{R})-1-[2-(1~{H}-indol-3-yl)ethylamino]-1-oxidanylidene-butan-2-yl] prop-2-enoate
URK	[(1~{S})-2-[(2,3-dimethoxyphenyl)methylamino]-1-(4-nitrophenyl)-2-oxidanylidene-ethyl] prop-2-enoate; FSP006
UQZ	
PRL	
35J	
US8	2-acetamido-~{N}-cyclopropyl-5-phenyl-thiophene-3-carboxamide
USH	
USZ	
V18	
YRL	p-tyrosol
HBA	
DMX	
PIM	
2AQ	2-AMINOQUINOLINE
7WA	
7OK	[(2R,3S,4R,5R)-5-[(4E)-4-hydroxyimino-2-oxidanylidene-pyrimidin-1-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate
16B	
4N0	
5P9	(1~{R})-~{N}-(5-chloranylpyridin-2-yl)-3-oxidanylidene-1,2-dihydroindene-1-carboxamide
7IL	N-[(1R)-2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-tert-butylphenyl)-1H-imidazole-5-carboxamide
90I	(phenylmethyl) (2S)-2-[[(2S)-3,4-bis(oxidanylidene)-1-[(3S)-2-oxidanylidenepyrrolidin-3-yl]-4-(2-phenylethylamino)butan-2-yl]carbamoyl]pyrrolidine-1-carboxylate
90X	(2S)-1-[2-[2,4-bis(chloranyl)phenoxy]ethanoyl]-N-[(2S)-3,4-bis(oxidanylidene)-1-[(3S)-2-oxidanylidenepyrrolidin-3-yl]-4-(2-phenylethylamino)butan-2-yl]pyrrolidine-2-carboxamide
V1B	
DZI	N-(2-pyrrolidyl)-3,4,5-trihydroxybenzoylhydrazone
A5I	1-[(E)-(3,5-dimethoxy-4-oxidanyl-phenyl)methylideneamino]thiourea
A6Q	1-[(E)-[3,4-bis(oxidanyl)phenyl]methylideneamino]-3-ethyl-thiourea
A4O	1-[(E)-[2,4-bis(oxidanyl)phenyl]methylideneamino]thiourea
A7L	1-[(E)-[2,5-bis(oxidanyl)phenyl]methylideneamino]-3-ethyl-thiourea
A3X	1-[(E)-1-(3-methoxy-4-oxidanyl-phenyl)ethylideneamino]thiourea
NDG	N-acetyl-alpha-D-glucosamine; 2-acetamido-2-deoxy-alpha-D-glucose; 2-acetamido-2-deoxy-D-glucose; 2-acetamido-2-deoxy-glucose; 2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
GTG	MRNA CAP ANALOG N7-METHYL GPPPG
SEP	PHOSPHONOSERINE
GE9	
6NR	
4IK	
POL	1-PROPONOL
4IT	
4IJ	
4I9	
4W8	
4WI	PF-07321332, bound form; nirmatrelvir, bound form; Paxlovid, bound form
4YG	
5YN	
5YJ	
5Z7	
5Z3	
5ZN	
5ZJ	
5ZB	
5ZF	
H69	
5ZW	
5ZT	
9OW	
7V2	
7VB	
7VI	
7VQ	
7VW	
7W5	
81L	
7XK	
7XT	
7Y2	
7YB	
7YI	
7YQ	
7YW	
7YZ	
800	
JWX	
87H	
8G9	
I70	
8GW	
I71	
8H3	
8H9	
8I0	
I69	
I68	
8I7	
8T6	
8UI	
I80	
JW9	
8ZI	
90H	
90U	
91I	
91Z	
99W	N-(2,4,6-trifluorophenyl)glycyl-N-{(1Z,2S)-1-imino-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-leucinamide
9EI	
L30	
9GI	
GJ3	
9HA	
I64	
FIW	
FIK	
FN2	
FP8	
ESS	
ET6	
EW9	
F5L	
F8C	
FEY	
FHS	
FVE	
FV5	
EQS	
EO6	
FWI	
FZI	
I2J	
I1W	
I1Z	
I2D	
I2N	
NB2	
V46	
W48	
I54	
Q56	
Y48	
N63	
S4L	
ISG	
IS5	
IRZ	
IRW	
ITX	
IT3	
ITG	
MOH	
EOH	
S88	
M0C	
NWX	
3DA	
UTP	
L2B	[(2~{S},4~{R},5~{R})-5-[2,4-bis(oxidanylidene)pyrimidin-1-yl]-4-oxidanyl-oxolan-2-yl]methyl dihydrogen phosphate
CTP	
O5F	
O5O	
O69	
I65	
5IL	
7XB	
7YY	
80I	
80X	
BLR	Bilirubin IX alpha
3XI	
40I	
59S	
5IZ	
5IW	
GME	(2S)-2-amino-5-methoxy-5-oxopentanoic acid
G7L	
G7O	
9FF	
BOV	
BJ6	
NNH	
GUN	
GMP	
REA	
3PH	PHOSPHATIDIC ACID
DD9	
OCT	
STE	
II7	3-azanylcyclobutane-1-carboxylic acid
IFO	penicillin derivative (open form)
4J5	
CY3	
0JY	
KZ0	Chemical crosslinker
3Q9	
BEZ	
XNV	AG7404, bound form
HSV	
BOC	
OCA	
KW6	
V9R	(R,S,S)-13b; 13b-H; ketoamide inhibitor 13b (bound)
QO6	~{N}-(2,3-dihydro-1~{H}-inden-5-yl)ethanamide
29N	1,1',1''-(1,3,5-triazinane-1,3,5-triyl)triprop-2-en-1-one, bound form
LQ6	
LQL	
92G	
OEI	2-(benzylamino)ethan-1-ol
OHR	[[(2~{R},3~{S},5~{R})-5-(6-aminopurin-9-yl)-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{S},4~{R},5~{S})-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate; [[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,4R,5S)-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate; 2'-deoxy-ADPR
OI3	[[(2~{R},3~{R},4~{R},5~{R})-5-(6-aminopurin-9-yl)-4-fluoranyl-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{S},4~{R},5~{R})-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate; [[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-4-fluoranyl-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,4R,5R)-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate; 2'-deoxy-2'-fluoro-ADPR
OI6	[[(2~{R},3~{S},4~{R},5~{R})-5-(6-azanyl-8-bromanyl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{S},4~{R},5~{R})-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate; [[(2R,3S,4R,5R)-5-(6-azanyl-8-bromanyl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,4R,5R)-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate; 8Br-ADPR
RVK	[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{S},4~{R},5~{S})-5-methoxy-3,4-bis(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate; [[(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5S)-3,4-dihydroxy-5-methoxyoxolan-2-yl]methyl hydrogen phosphate; Adenosine 5'-diphosphoric acid beta-[(3beta,4beta-dihydroxy-5beta-methoxytetrahydrofuran-2alpha-yl)methyl] ester; alpha-1''-O-methyl-ADP ribose; J3.653.949F
OIG	[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] ethyl hydrogen phosphate; [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ethyl hydrogen phosphate; beta-ethyl-ADP
OH9	[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] methyl hydrogen phosphate; [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] methyl hydrogen phosphate; beta-methyl-ADP
OW1	(1~{R},2~{S},5~{S})-3-[(2~{S})-3,3-dimethyl-2-[2,2,2-tris(fluoranyl)ethanoylamino]butanoyl]-6,6-dimethyl-~{N}-[(2~{S})-1-[(3~{S})-2-oxidanylidenepyrrolidin-3-yl]but-3-en-2-yl]-3-azabicyclo[3.1.0]hexane-2-carboxamide
QQL	
QH0	
TBN	7-DEAZAADENOSINE
T6B	1-methyl-4-[5-(morpholin-4-ylcarbonyl)-2-furyl]-1H-pyrrolo[2,3-b]pyridine
T6O	2-[[1-(2-azanyl-1,3-thiazol-4-yl)-2-[(2-methyl-4-oxidanylidene-1-sulfo-azetidin-3-yl)amino]-2-oxidanylidene-ethylidene]amino]oxy-2-methyl-propanoic acid
MTA	
DHL	2,3-DESHYDROLANTHIONINE
OG3	(R)-1-(4-chlorophenyl)ethan-1-amine
OF6	1-(2-(3-chlorophenyl)thiazol-4-yl)-N-methylmethanamine
AH2	1,5-Anhydromannitol; 1-deoxy-alpha-D-mannose; 1-deoxy-D-mannose; 1-deoxy-mannose
P5X	
P6I	
P6R	
P7L	
P8L	
P8U	
P8C	
PJR	
QAO	
TKX	
TNI	
U0R	
U1J	
U1R	
U26	
U2B	
U2I	
SRU	
SVL	
T2L	
T1X	
T43	
U6Y	
U76	
URR	
UO9	
WJB	
UQO	
VM0	
VLU	
UUR	
UV2	
WEQ	
WEL	
WF5	
WGO	
WGU	
WIO	
WIX	
WJ0	
WOH	
WQO	
WUK	
X6O	
X70	
X6T	
X9Z	
XA8	
XFF	
XFR	
XF8	
XCK	
XDU	
XE0	
Y0I	
Y0E	
Y1E	
AW2	
MJ7	
Y8O	
YVZ	
YFK	
YOO	
BCN	
ZGI	
ZH0	
ZGO	
ZGW	(1R,2S,5S)-N-{(1S)-1-cyano-2-[(3S)-2-oxopyrrolidin-3-yl]ethyl}-6,6-dimethyl-3-[3-methyl-N-(trifluoroacetyl)-L-valyl]-3-azabicyclo[3.1.0]hexane-2-carboxamide
ZJ3	
QUE	QUERCETIN
KAE	
K9U	
0A9	
GNP	
6GS	
06Q	
0AX	
0BO	
GO3	7-(8-formyl-1,6,7-trihydroxy-3-methyl-5-propan-2-yl naphthalen-2-yl)-2,3,8-trihydroxy-6-methyl-4-propan-2-yl naphthalene-1-carbaldehyde
KM6	
Q83	
VIB	THIAMIN; VITAMIN B1
LQZ	
LI	
LV0	
LVX	
LKR	Robinetin
UZF	
OF9	
OU3	
OZ6	
P0O	
OZL	
OZB	
7ON	
PQL	
PQX	
DJU	5-Benzyloxygramine
85Y	
U2H	
PBP	
H2S	HYDROGEN SULFIDE
A8J	317829-73-5
AIE	AKOS000277907
AJF	
AO0	
B7Y	
UWO	
V3E	
ALA	
V00	
VQR	
VQN	
83F	tert-butyl N-[(2S)-3-methyl-1-[(2S,4S)-4-methyl-2-[[(2S)-1-oxidanylidene-3-[(3S)-2-oxidanylidenepyrrolidin-3-yl]propan-2-yl]carbamoyl]pyrrolidin-1-yl]-1-oxidanylidene-butan-2-yl]carbamate
83N	tert-butyl-N-[(2S)-1-[(2S,4S)-4-methoxy-2-[[(2S)-1-oxidanylidene-3-[(3S)-2-oxidanylidenepyrrolidin-3-yl]propan-2-yl]carbamoyl]pyrrolidin-1-yl]-3-methyl-1-oxidanylidene-butan-2-yl]carbamate
84C	tert-butyl N-[(2S)-1-[(3S,3aS,6aR)-3-[[(2S)-1-oxidanylidene-3-[(3S)-2-oxidanylidenepyrrolidin-3-yl]propan-2-yl]carbamoyl]-3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrol-2-yl]-3-methyl-1-oxidanylidene-butan-2-yl]carbamate
83W	tert-butyl-N-[(2S,3R)-3-[(2-methylpropan-2-yl)oxy]-1-oxidanylidene-1-[(2S)-2-[[(2S)-1-oxidanylidene-3-[(3S)-2-oxidanylidenepyrrolidin-3-yl]propan-2-yl]carbamoyl]pyrrolidin-1-yl]butan-2-yl]carbamate
W08	(2S,3S,4R,5R)-5-(6-Amino-9H-purin-9-yl)-3,4-dihydroxy-N-(1-methyl-4-piperidinyl)tetrahydro-2-furancarboxamide; (2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-N-(1-methylpiperidin-4-yl)oxolane-2-carboxamide
SGV	4-amino-7-beta-D-ribofuranosyl-7H-pyrrolo[2,3-d]pyrimidine-5-carboxamide
5ID	5-IODOTUBERCIDIN
TO1	TOYOCAMYCIN
9M5	
XIO	
YQN	
XI0	
XH9	
XHW	
XJ9	
EQT	
ABV	2-Aminobenzothiazole
ZU0	
ZV7	
I3R	
A1W	
WSB	
VSN	
WGE	
WGI	
WZK	
PHL	bound form of Phenylalaninal
CSI	
ZQB	
JVX	
JJC	
JJO	
JKL	
JWO	
JX6	
JY0	
K2X	
V83	
VI1	
SJF	
SO0	
SQ3	
W28	
WOK	Inhibitor TKB-272, hemithioacetal bound form
WTE	GSK4365096A
WTV	
XB5	
X83	
X8F	
XEK	
XKQ	
XWO	
XXW	
XYI	
XYR	
Y2I	
Y2N	
Y2R	
Y3R	
YDL	N-(methoxycarbonyl)-3-methyl-L-valyl-(4R)-N-{(1S)-1-cyano-2-[(3S)-2-oxopyrrolidin-3-yl]ethyl}-4-(trifluoromethyl)-L-prolinamide, bound form; Ibuzatrelvir, bound form
X1Z	
XIU	CCF0058981
IDU	2-O-sulfo-beta-L-altruronic acid; 2-O-sulfo-L-altruronic acid; 2-O-sulfo-altruronic acid
ROA	Rosmarinic acid
TBG	
EDT	
