Ligand,Synonyms
FUL,beta-L-fucose; 6-deoxy-beta-L-galactopyranose; L-fucose; fucose; 6-DEOXY-BETA-L-GALACTOSE
1IN,"L-738,317"
A1A,No synonyms data available
1AH,No synonyms data available
2AH,No synonyms data available
4AH,No synonyms data available
RO1,No synonyms data available
385,No synonyms data available
AI,No synonyms data available
ORQ,No synonyms data available
PBU,"di-butanoyl L-alpha-phosphatidyl-D-myo-inositol 4,5-bisphosphate; di-C4-PIP2"
PIO,"dioctanoyl l-alpha-phosphatidyl-d-myo-inositol 4,5-diphosphate"
GRL,No synonyms data available
PGR,No synonyms data available
PC0,No synonyms data available
MUI,No synonyms data available
MUT,No synonyms data available
QFI,No synonyms data available
DJR,No synonyms data available
KGQ,No synonyms data available
K05,No synonyms data available
JG3,No synonyms data available
I15,No synonyms data available
JPR,No synonyms data available
PC8,No synonyms data available
8SP,No synonyms data available
1HF,No synonyms data available
HBQ,No synonyms data available
075,KNI-10075
O33,KNI-10033
G0G,No synonyms data available
MUU,No synonyms data available
MUV,No synonyms data available
G3G,No synonyms data available
G4G,No synonyms data available
MUW,No synonyms data available
MU1,No synonyms data available
MU0,No synonyms data available
065,"RL-98065; [(1R,5S,6R)-2,8-DIOXABICYCLO[3.3.0]OCT-6-YL]N-[(2S,3R)-4-[(3,4-METHYLENEDIOXYPHENYL)SULFONYL-(2-METHYLPROPYL)AMINO]-3-HYDROXY-1-PHENYL-BUTAN-2-YL] CARBAMATE"
MZ1,No synonyms data available
MZ2,No synonyms data available
MZ3,No synonyms data available
MZ4,No synonyms data available
MZ5,No synonyms data available
MZ6,No synonyms data available
MZ7,No synonyms data available
MZ8,No synonyms data available
MZ9,No synonyms data available
A00,No synonyms data available
QN1,No synonyms data available
QN2,No synonyms data available
QN3,No synonyms data available
MRX,No synonyms data available
TT1,No synonyms data available
U02,No synonyms data available
HI1,No synonyms data available
HV1,No synonyms data available
NNC,No synonyms data available
NNB,No synonyms data available
NNI,No synonyms data available
PPN,No synonyms data available
5AH,No synonyms data available
ZZE,No synonyms data available
1B0,No synonyms data available
CXG,No synonyms data available
G40,No synonyms data available
YKN,No synonyms data available
WHU,No synonyms data available
EUR,No synonyms data available
CXD,No synonyms data available
T27,Rilpivirine
YDP,No synonyms data available
KNJ,KNI-1689
ARQ,No synonyms data available
BZX,No synonyms data available
AVX,No synonyms data available
BMC,No synonyms data available
833,No synonyms data available
BBY,No synonyms data available
LNT,No synonyms data available
LLG,No synonyms data available
LJG,No synonyms data available
LJH,No synonyms data available
BZN,"N-((3R,4R)-4-Benzyloxymethyl-pyrrolidin-3-ylmethyl)-N-isobutyl-benzene sulfonamide"
DRR,No synonyms data available
DRS,No synonyms data available
M14,N-[4-(aminosulfonyl)-2-chlorophenyl]-2-[3-chloro-5-(3-chloro-5-cyanophenoxy)phenoxy]acetamide
M22,No synonyms data available
KVI,No synonyms data available
KVS,No synonyms data available
PDZ,No synonyms data available
G55,No synonyms data available
G05,No synonyms data available
GFA,No synonyms data available
GWE,No synonyms data available
GWJ,No synonyms data available
GWI,No synonyms data available
R8E,No synonyms data available
R8D,No synonyms data available
PZL,No synonyms data available
PZ2,No synonyms data available
3OB,No synonyms data available
GGW,No synonyms data available
GGV,No synonyms data available
GGX,No synonyms data available
K60,"(5S)-N-{(1S,2R)-3-[(1,3-benzodioxol-5-ylsulfonyl)(2-methylpropyl)amino]-1-benzyl-2-hydroxypropyl}-2-oxo-3-[3-(trifluoromethyl)phenyl]-1,3-oxazolidine-5-carboxamide"
K62,"(5S)-3-(3-acetylphenyl)-N-{(1S,2R)-3-[(1,3-benzodioxol-5-ylsulfonyl)(2-methylpropyl)amino]-1-benzyl-2-hydroxypropyl}-2-oxo-1,3-oxazolidine-5-carboxamide"
D78,"(5S)-N-[(1S,2R)-1-benzyl-2-hydroxy-3-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}propyl]-2-oxo-3-[3-(trifluoromethyl)phenyl]-1,3-oxazolidine-5-carboxamide"
JEF,JEFFAMINE
031,No synonyms data available
ON1,No synonyms data available
RT3,"S-(2-{[4-(aminosulfonyl)-2-chlorophenyl]amino}-2-oxoethyl) 6-methyl-3,4-dihydroquinoline-1(2H)-carbothioate"
RT7,"S-(2-{[4-(aminosulfonyl)-2-chlorophenyl]amino}-2-oxoethyl) 6,8-dichloro-3,4-dihydroquinoline-1(2H)-carbothioate"
GR6,No synonyms data available
JTH,beta-thujaplicinol
UDR,"S-methyl 5-[(1E)-1-(3,7-dimethyl-2-oxo-2,3-dihydro-1,3-benzoxazol-5-yl)-5-(5-methyl-1,3,4-oxadiazol-2-yl)pent-1-en-1-yl]-2-methoxy-3-methylbenzenecarbothioate"
AC7,No synonyms data available
EDM,No synonyms data available
006,KNI-10006
JZP,KNI-10074
JZQ,KNI-10265
1F1,No synonyms data available
914,"[(5-(6-amino-purin-9-yl)-4-fluoro-2,5-dihydro-furan-2-yloxymethyl)phosphonate-diphosphate]"
URT,No synonyms data available
ZP4,No synonyms data available
KR1,No synonyms data available
KRV,No synonyms data available
KRP,No synonyms data available
KBT,No synonyms data available
LP7,No synonyms data available
LP8,No synonyms data available
LP9,No synonyms data available
MLI,No synonyms data available
723,No synonyms data available
976,No synonyms data available
DJZ,No synonyms data available
595,No synonyms data available
K53,"(5S)-N-[(1S,2R)-3-[(1,3-Benzodioxol-5-ylsulfonyl)(2-methylpropyl)amino]-2-hydroxy-1-(phenylmethyl)propyl]-3-(2-hydroxyphenyl)-2-oxooxazolidine-5-carboxamide"
K54,"(5S)-N-[(1S,2R)-3-[(6-Benzothiazolylsulfonyl)(2-methylpropyl)amino]-2-hydroxy-1-(phenylmethyl)propyl]-2-oxo-3-[2-(trifluoromethyl)phenyl]oxazolidine-5-carboxamide"
JGZ,No synonyms data available
IMV,No synonyms data available
CIW,No synonyms data available
CDQ,No synonyms data available
CD9,No synonyms data available
CBJ,No synonyms data available
016,KNI-10772
I3M,No synonyms data available
K13,No synonyms data available
K14,No synonyms data available
K2A,No synonyms data available
K20,No synonyms data available
K19,No synonyms data available
A60,No synonyms data available
K2D,No synonyms data available
F53,No synonyms data available
K2E,No synonyms data available
A61,No synonyms data available
G52,No synonyms data available
MPV,No synonyms data available
ZYK,"3,4-dimethoxybenzamidoxy proline"
ZYJ,No synonyms data available
G04,No synonyms data available
JHG,No synonyms data available
NI7,No synonyms data available
P1Y,No synonyms data available
QID,No synonyms data available
P4Y,No synonyms data available
QO9,No synonyms data available
NI8,No synonyms data available
N4I,No synonyms data available
NK7,No synonyms data available
NK9,No synonyms data available
NK8,No synonyms data available
RSY,No synonyms data available
RSZ,No synonyms data available
74T,TMC310911
LK0,No synonyms data available
23X,No synonyms data available
F72,No synonyms data available
A69,No synonyms data available
F71,No synonyms data available
55A,No synonyms data available
K83,No synonyms data available
A68,No synonyms data available
77F,No synonyms data available
F78,No synonyms data available
