entry_id,deposited_model_num,label_asym_id,component_id,auth_asym_id,auth_seq_id,insertion_code_normalized,mapping_reason_class,algorithm_queue,preflight_mapping_status,heavy_atoms_structural,heavy_atoms_reference,heavy_atoms_mapped,heavy_atom_mapping_fraction,remediation_status,notes
1FFF,1,C,0Q4,D,401,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,59,59,58,0.983051,pending,Stage 2I QC-controlled mapping deferral
1FFI,1,C,2NC,D,300,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
1FG6,1,C,2NC,D,300,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
1FG8,1,C,0Q4,C,401,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,59,59,58,0.983051,pending,Stage 2I QC-controlled mapping deferral
1FGC,1,C,2NC,C,300,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
1FK9,1,C,EFZ,A,999,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,21,21,17,0.809524,pending,Stage 2I QC-controlled mapping deferral
1FKO,1,C,EFZ,A,999,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,21,21,17,0.809524,pending,Stage 2I QC-controlled mapping deferral
1GNM,1,C,U0E,A,100,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
1GNM,1,D,U0E,A,101,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
1GNN,1,C,U0E,A,100,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
1GNN,1,D,U0E,A,101,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
