virus_name,pdb_id,protein
Human immunodeficiency virus 1,1F6U,Capsid Protein
Human immunodeficiency virus 1,1F6U,Nucleocapsid Protein
Human immunodeficiency virus 1,1F7A,Capsid Protein
Human immunodeficiency virus 1,1F7A,Protease
Human immunodeficiency virus 1,1FAV,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1FB7,Protease
Human immunodeficiency virus 1,1FEJ,Protease
Human immunodeficiency virus 1,1FF0,Protease
Human immunodeficiency virus 1,1FFF,Protease
Human immunodeficiency virus 1,1FFI,Protease
Human immunodeficiency virus 1,1FG6,Protease
Human immunodeficiency virus 1,1FG8,Protease
Human immunodeficiency virus 1,1FGC,Protease
Human immunodeficiency virus 1,1FGL,Capsid Protein
Human immunodeficiency virus 1,1FI0,Accessory Proteins
Human immunodeficiency virus 1,1FK9,Reverse Transcriptase
Human immunodeficiency virus 1,1FKO,Reverse Transcriptase
Human immunodeficiency virus 1,1FKP,Reverse Transcriptase
Human immunodeficiency virus 1,1FQX,Protease
Human immunodeficiency virus 1,1G2K,Protease
Human immunodeficiency virus 1,1G35,Protease
Human immunodeficiency virus 1,1G6L,Protease
Human immunodeficiency virus 1,1G9M,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1G9N,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1GC1,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1GGI,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1GNM,Protease
Human immunodeficiency virus 1,1GNN,Protease
Human immunodeficiency virus 1,1GNO,Protease
Human immunodeficiency virus 1,1GTC,RNAse H
Human immunodeficiency virus 1,1GTC,Reverse Transcriptase
Human immunodeficiency virus 1,1GWP,Capsid Protein
Human immunodeficiency virus 1,1GWP,Matrix Protein
Human immunodeficiency virus 1,1GZL,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1GZL,Fusion Protein
Human immunodeficiency virus 1,1HAR,Polymerase
Human immunodeficiency virus 1,1HAR,Reverse Transcriptase
Human immunodeficiency virus 1,1HBV,Protease
Human immunodeficiency virus 1,1HEF,Protease
Human immunodeficiency virus 1,1HEG,Protease
Human immunodeficiency virus 1,1HHG,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1HHJ,Reverse Transcriptase
Human immunodeficiency virus 1,1HHP,Protease
Human immunodeficiency virus 1,1HIH,Protease
Human immunodeficiency virus 1,1HIV,Protease
Human immunodeficiency virus 1,1HIW,Capsid Protein
Human immunodeficiency virus 1,1HIW,Matrix Protein
Human immunodeficiency virus 1,1HMV,Polymerase
Human immunodeficiency virus 1,1HMV,Reverse Transcriptase
Human immunodeficiency virus 1,1HNI,Reverse Transcriptase
Human immunodeficiency virus 1,1HNV,Reverse Transcriptase
Human immunodeficiency virus 1,1HOS,Protease
Human immunodeficiency virus 1,1HPO,Protease
Human immunodeficiency virus 1,1HPS,Protease
Human immunodeficiency virus 1,1HPV,Protease
Human immunodeficiency virus 1,1HPX,Protease
Human immunodeficiency virus 1,1HPZ,Reverse Transcriptase
Human immunodeficiency virus 1,1HQE,Reverse Transcriptase
Human immunodeficiency virus 1,1HQU,Reverse Transcriptase
Human immunodeficiency virus 1,1HRH,RNAse H
Human immunodeficiency virus 1,1HRH,Reverse Transcriptase
Human immunodeficiency virus 1,1HSG,Protease
Human immunodeficiency virus 1,1HTE,Protease
Human immunodeficiency virus 1,1HTF,Protease
Human immunodeficiency virus 1,1HTG,Protease
Human immunodeficiency virus 1,1HVC,Protease
Human immunodeficiency virus 1,1HVH,Protease
Human immunodeficiency virus 1,1HVI,Protease
Human immunodeficiency virus 1,1HVJ,Protease
Human immunodeficiency virus 1,1HVK,Protease
Human immunodeficiency virus 1,1HVL,Protease
Human immunodeficiency virus 1,1HVN,Capsid Protein
Human immunodeficiency virus 1,1HVN,Nucleocapsid Protein
Human immunodeficiency virus 1,1HVO,Capsid Protein
Human immunodeficiency virus 1,1HVO,Nucleocapsid Protein
Human immunodeficiency virus 1,1HVR,Protease
Human immunodeficiency virus 1,1HVS,Protease
Human immunodeficiency virus 1,1HVU,Protease
Human immunodeficiency virus 1,1HVU,Reverse Transcriptase
Human immunodeficiency virus 1,1HWR,Protease
Human immunodeficiency virus 1,1HXB,Protease
Human immunodeficiency virus 1,1HXW,Protease
Human immunodeficiency virus 1,1HYS,RNAse H
Human immunodeficiency virus 1,1HYS,Reverse Transcriptase
Human immunodeficiency virus 1,1HYV,Integrase
Human immunodeficiency virus 1,1HYZ,Integrase
Human immunodeficiency virus 1,1I5X,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1I5Y,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1IHV,Integrase
Human immunodeficiency virus 1,1IHW,Integrase
Human immunodeficiency virus 1,1IIQ,Protease
Human immunodeficiency virus 1,1IKV,Reverse Transcriptase
Human immunodeficiency virus 1,1IKW,Reverse Transcriptase
Human immunodeficiency virus 1,1IKX,Reverse Transcriptase
Human immunodeficiency virus 1,1IKY,Reverse Transcriptase
Human immunodeficiency virus 1,1IM7,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1ITG,Integrase
Human immunodeficiency virus 1,1IZH,Protease
Human immunodeficiency virus 1,1IZI,Protease
Human immunodeficiency virus 1,1J5O,Polymerase
Human immunodeficiency virus 1,1J5O,Reverse Transcriptase
Human immunodeficiency virus 1,1J8N,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1J8Z,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1J9V,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JAA,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JAR,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JAU,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JAV,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JC8,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JCP,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JD8,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1JD8,Transmembrane Protein
Human immunodeficiency virus 1,1JFW,Accessory Proteins
Human immunodeficiency virus 1,1JKH,Reverse Transcriptase
Human immunodeficiency virus 1,1JLA,Reverse Transcriptase
Human immunodeficiency virus 1,1JLB,Reverse Transcriptase
Human immunodeficiency virus 1,1JLC,Reverse Transcriptase
Human immunodeficiency virus 1,1JLE,Reverse Transcriptase
Human immunodeficiency virus 1,1JLF,Reverse Transcriptase
Human immunodeficiency virus 1,1JLG,Reverse Transcriptase
Human immunodeficiency virus 1,1JLQ,Reverse Transcriptase
Human immunodeficiency virus 1,1JM4,Accessory Proteins
Human immunodeficiency virus 1,1K1T,Protease
